dni,evaluacion,nota
79000003,Examen medio ciclo,15
79000004,Examen medio ciclo,20
79000005,Examen medio ciclo,14
79000006,Examen medio ciclo,19
79000007,Examen medio ciclo,13
79000008,Examen medio ciclo,18
79000009,Examen medio ciclo,12
79000010,Examen medio ciclo,17
79000011,Examen medio ciclo,11
79000012,Examen medio ciclo,16
79000013,Examen medio ciclo,10
79000014,Examen medio ciclo,15
79000015,Examen medio ciclo,20
79000016,Examen medio ciclo,14
79000017,Examen medio ciclo,19
79000018,Examen medio ciclo,13
79000019,Examen medio ciclo,18
79000020,Examen medio ciclo,12
79000039,Examen medio ciclo,17
79000041,Examen medio ciclo,11
79100021,Examen medio ciclo,16
79100022,Examen medio ciclo,10
79100023,Examen medio ciclo,15
79100024,Examen medio ciclo,20
79100025,Examen medio ciclo,14
79100026,Examen medio ciclo,19
79100027,Examen medio ciclo,13
79100028,Examen medio ciclo,18
79100029,Examen medio ciclo,12
79100030,Examen medio ciclo,17
79100031,Examen medio ciclo,11
79100032,Examen medio ciclo,16
79100033,Examen medio ciclo,10
79100034,Examen medio ciclo,15
79100035,Examen medio ciclo,20
79100036,Examen medio ciclo,14
79100037,Examen medio ciclo,19
79100038,Examen medio ciclo,13
79100039,Examen medio ciclo,18
79100040,Examen medio ciclo,12
79100041,Examen medio ciclo,17
79100042,Examen medio ciclo,11
79100043,Examen medio ciclo,16
79100044,Examen medio ciclo,10
79100045,Examen medio ciclo,15
79100046,Examen medio ciclo,20
79100047,Examen medio ciclo,14
79100048,Examen medio ciclo,19
79100049,Examen medio ciclo,13
79100050,Examen medio ciclo,18
79100051,Examen medio ciclo,12
79100052,Examen medio ciclo,17
79100053,Examen medio ciclo,11
79100054,Examen medio ciclo,16
79100055,Examen medio ciclo,10
79100056,Examen medio ciclo,15
79100057,Examen medio ciclo,20
79100058,Examen medio ciclo,14
79100059,Examen medio ciclo,19
79100060,Examen medio ciclo,13
79100061,Examen medio ciclo,18
79100062,Examen medio ciclo,12
79100063,Examen medio ciclo,17
79100064,Examen medio ciclo,11
79100065,Examen medio ciclo,16
79100066,Examen medio ciclo,10
79100067,Examen medio ciclo,15
79100068,Examen medio ciclo,20
79100069,Examen medio ciclo,14
79100070,Examen medio ciclo,19
79100071,Examen medio ciclo,13
79100072,Examen medio ciclo,18
79100073,Examen medio ciclo,12
79100074,Examen medio ciclo,17
79100075,Examen medio ciclo,11
79100076,Examen medio ciclo,16
79100077,Examen medio ciclo,10
79100078,Examen medio ciclo,15
79100079,Examen medio ciclo,20
79100080,Examen medio ciclo,14
79100081,Examen medio ciclo,19
79100082,Examen medio ciclo,13
79100083,Examen medio ciclo,18
79100084,Examen medio ciclo,12
79100085,Examen medio ciclo,17
79100086,Examen medio ciclo,11
79100087,Examen medio ciclo,16
79100088,Examen medio ciclo,10
79100089,Examen medio ciclo,15
79100090,Examen medio ciclo,20
79100091,Examen medio ciclo,14
79100092,Examen medio ciclo,19
79100093,Examen medio ciclo,13
79100094,Examen medio ciclo,18
79100095,Examen medio ciclo,12
79100096,Examen medio ciclo,17
79100097,Examen medio ciclo,11
79100098,Examen medio ciclo,16
79100099,Examen medio ciclo,10
79100100,Examen medio ciclo,15
79100101,Examen medio ciclo,20
79100102,Examen medio ciclo,14
79100103,Examen medio ciclo,19
79100104,Examen medio ciclo,13
79100105,Examen medio ciclo,18
79100106,Examen medio ciclo,12
79100107,Examen medio ciclo,17
79100108,Examen medio ciclo,11
79100109,Examen medio ciclo,16
79100110,Examen medio ciclo,10
